V1	Group
55117	WT_specific
73727	WT_specific
87947	WT_specific
71639	WT_specific
1030	WT_specific
7526	WT_specific
10806	WT_specific
0	WT_specific
14166	WT_specific
4931	WT_specific
33061	WT_specific
47716	WT_specific
458	WT_specific
0	WT_specific
8902	WT_specific
0	WT_specific
23195	WT_specific
19533	WT_specific
70	WT_specific
18414	WT_specific
16648	WT_specific
24021	WT_specific
42078	WT_specific
44619	WT_specific
25319	WT_specific
24492	WT_specific
9955	WT_specific
14791	WT_specific
355	WT_specific
9005	WT_specific
94345	WT_specific
42972	WT_specific
38666	WT_specific
24925	WT_specific
16187	WT_specific
8642	WT_specific
889	WT_specific
11540	WT_specific
43062	WT_specific
54121	WT_specific
55103	WT_specific
59378	WT_specific
80839	WT_specific
90803	WT_specific
98726	WT_specific
83982	WT_specific
77175	WT_specific
52523	WT_specific
46394	WT_specific
41395	WT_specific
34243	WT_specific
30551	WT_specific
22640	WT_specific
12232	WT_specific
9611	WT_specific
19329	WT_specific
39211	WT_specific
36294	WT_specific
28519	WT_specific
8308	WT_specific
19924	WT_specific
0	WT_specific
721	WT_specific
13127	WT_specific
33634	WT_specific
47188	WT_specific
54295	WT_specific
37751	WT_specific
35812	WT_specific
32036	WT_specific
0	WT_specific
2321	WT_specific
5406	WT_specific
43845	WT_specific
41045	WT_specific
39705	WT_specific
0	WT_specific
940	WT_specific
7901	WT_specific
5889	WT_specific
364	WT_specific
0	WT_specific
24072	WT_specific
17726	WT_specific
15050	WT_specific
6571	WT_specific
13184	WT_specific
14728	WT_specific
35107	WT_specific
29661	WT_specific
566	WT_specific
3808	WT_specific
19628	WT_specific
18914	WT_specific
17649	WT_specific
14955	WT_specific
0	WT_specific
25789	WT_specific
1751	WT_specific
0	WT_specific
3020	WT_specific
8314	WT_specific
6012	WT_specific
867	WT_specific
14640	WT_specific
13302	WT_specific
7256	WT_specific
0	WT_specific
1091	WT_specific
19484	WT_specific
17623	WT_specific
0	WT_specific
2084	WT_specific
21358	WT_specific
23602	WT_specific
32880	WT_specific
36115	WT_specific
31952	WT_specific
29680	WT_specific
5766	WT_specific
4991	WT_specific
448	WT_specific
0	WT_specific
3507	WT_specific
0	WT_specific
12010	WT_specific
0	WT_specific
31322	WT_specific
44135	WT_specific
19706	WT_specific
14626	WT_specific
19080	WT_specific
4813	WT_specific
7209	WT_specific
31226	WT_specific
462	WT_specific
19971	WT_specific
13941	WT_specific
0	WT_specific
24939	WT_specific
27838	WT_specific
26925	WT_specific
16925	WT_specific
11939	WT_specific
3527	WT_specific
1407	WT_specific
11815	WT_specific
21676	WT_specific
8651	WT_specific
0	WT_specific
4505	WT_specific
6546	WT_specific
5824	WT_specific
47061	WT_specific
47873	WT_specific
65389	WT_specific
59935	WT_specific
43542	WT_specific
40795	WT_specific
31106	WT_specific
21083	WT_specific
15497	WT_specific
7289	WT_specific
843	WT_specific
0	WT_specific
44267	WT_specific
30643	WT_specific
64740	WT_specific
93008	WT_specific
108106	WT_specific
91376	WT_specific
67110	WT_specific
42554	WT_specific
17416	WT_specific
78412	WT_specific
10231	WT_specific
23015	WT_specific
26343	WT_specific
121973	WT_specific
96619	WT_specific
45742	WT_specific
19986	WT_specific
4405	WT_specific
10142	WT_specific
47184	WT_specific
48064	WT_specific
107625	WT_specific
76654	WT_specific
35904	WT_specific
0	WT_specific
583	WT_specific
6428	WT_specific
56510	WT_specific
73739	WT_specific
33062	WT_specific
28650	WT_specific
18574	WT_specific
6850	WT_specific
0	WT_specific
20609	WT_specific
39408	WT_specific
40941	WT_specific
45458	WT_specific
51827	WT_specific
52767	WT_specific
57869	WT_specific
48160	WT_specific
35282	WT_specific
2192	WT_specific
13015	WT_specific
23476	WT_specific
6497	WT_specific
250	WT_specific
0	WT_specific
5527	WT_specific
6901	WT_specific
7748	WT_specific
1492	WT_specific
0	WT_specific
0	WT_specific
83657	WT_specific
151801	WT_specific
120540	WT_specific
96559	WT_specific
1925	WT_specific
52999	WT_specific
60365	WT_specific
10744	WT_specific
9135	WT_specific
26643	WT_specific
35778	WT_specific
1620	WT_specific
19168	WT_specific
15350	WT_specific
10084	WT_specific
6305	WT_specific
13841	WT_specific
31472	WT_specific
36037	WT_specific
63906	WT_specific
102171	WT_specific
105949	WT_specific
68687	WT_specific
63530	WT_specific
31636	WT_specific
6763	WT_specific
4285	WT_specific
342	WT_specific
43424	WT_specific
32593	WT_specific
31753	WT_specific
31065	WT_specific
6018	WT_specific
0	WT_specific
12095	WT_specific
3561	WT_specific
7498	WT_specific
3289	WT_specific
1639	WT_specific
657	WT_specific
16308	WT_specific
28324	WT_specific
43189	WT_specific
51595	WT_specific
99887	WT_specific
100856	WT_specific
75779	WT_specific
0	WT_specific
4764	WT_specific
9259	WT_specific
4716	WT_specific
22214	WT_specific
38468	WT_specific
40697	WT_specific
67277	WT_specific
82834	WT_specific
105538	WT_specific
74615	WT_specific
2808	WT_specific
18985	WT_specific
20340	WT_specific
27864	WT_specific
38471	WT_specific
57900	WT_specific
125956	WT_specific
129411	WT_specific
113354	WT_specific
78514	WT_specific
0	WT_specific
21514	WT_specific
32829	WT_specific
35592	WT_specific
47731	WT_specific
45449	WT_specific
42783	WT_specific
36107	WT_specific
31447	WT_specific
12288	WT_specific
19395	WT_specific
15230	WT_specific
7338	WT_specific
1429	WT_specific
